;Elite;Standart;Economy
Базовая цена;500;250;150
Валюта;EUR;EUR;EUR
Рост 170+;20% к цене;20% к цене;15% к цене
Рост 150-170;10% к цене;10% к цене;5% к цене
Рост 130-150;5% к цене;5% к цене;0% к цене
Рост до 130;0% к цене;0% к цене;скидка 5% от цены
Без рукавов ;скидка 5% от цены;скидка 5% от цены;скидка 5% от цены
Рукава;30 за каждый;20 за каждый;10 за каждый
Без юбки;скидка 5% от цены;скидка 5% от цены;скидка 5% от цены
Юбка спереди;30;20;15
Юбка сзади;30;20;15
Без декоративных элементов;скидка 5% от цены;скидка 5% от цены;скидка 5% от цены
Декоративные элементы перья;10;10;5
Декоративные  элементы имитация ремня с кнопками;10;10;5
Декоративные элементы бахрома;10;10;5
Декоративные элементы цветы;10;10;5
Декоративные элементы другое;5;5;0
Погон, украшенный камнями и/или бахромой;15;15;15
Крылышко ;5;5;5
Подвесы ;5;5;5
Аэрография тонировка ;5;5;5
Аэрография переход нескольких цветов  ;15;10;5
Аэрография объемный рисунок  ;10;10;5
Комбинезон с узором на торсе ;20% к цене;20% к цене;15% к цене
Комбинезон с узором на торсе и штанинах ;25% к цене;25% к цене;15% к цене
Камни Премиум  ss10-ss20 - 100 штук;100;100;50
Камни Премиум  ss10-ss20 - 200 штук;150;150;100
Камни Премиум  ss10-ss20 - 300 штук;200;200;150
Камни Премиум  ss30-ss40 - 30 штук;50;50;50
Камни Премиум пришивные - 10 штук;50;50;50
Камни Премиум пришивные - 20 штук;100;100;100
Камни Премиум пришивные - 30 штук;150;150;150
Камни Премиум микс мал+пришивные - 100 штук;100;100;100
Срочный заказ (3 дня);40% к цене;30% к цене;10% к цене
Ускоренный заказ (5 дней);10% к цене;10% к цене;10% к цене
Стандартный срок (7-14 дней);0;0;0
Ваш макет или фото купальника из интернета без внесения правок;скидка 20% к цене;скидка 20% к цене;скидка 20% к цене
